,Datum,Tijd,Parameter,Locatie,Waarde,Verwachting,Eenheid,Windrichting,Windrichting eenheid,Bemonsteringshoogte,Referentievlak,Unnamed: 11
0,28-4-2021,13:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.65,,m/s,19.7,graden,2910.0,NVT,
1,28-4-2021,13:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.86,,m/s,18.3,graden,2910.0,NVT,
2,28-4-2021,13:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.89,,m/s,15.4,graden,2910.0,NVT,
3,28-4-2021,14:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.72,,m/s,13.2,graden,2910.0,NVT,
4,28-4-2021,14:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.98,,m/s,11.6,graden,2910.0,NVT,
5,28-4-2021,14:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.4,,m/s,11.9,graden,2910.0,NVT,
6,28-4-2021,14:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.28,,m/s,10.4,graden,2910.0,NVT,
7,28-4-2021,14:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.11,,m/s,10.0,graden,2910.0,NVT,
8,28-4-2021,14:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.04,,m/s,10.3,graden,2910.0,NVT,
9,28-4-2021,15:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.05,,m/s,10.1,graden,2910.0,NVT,
10,28-4-2021,15:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.89,,m/s,11.5,graden,2910.0,NVT,
11,28-4-2021,15:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.21,,m/s,11.3,graden,2910.0,NVT,
12,28-4-2021,15:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.52,,m/s,11.7,graden,2910.0,NVT,
13,28-4-2021,15:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.81,,m/s,12.0,graden,2910.0,NVT,
14,28-4-2021,15:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.79,,m/s,10.1,graden,2910.0,NVT,
15,28-4-2021,16:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.72,,m/s,7.1,graden,2910.0,NVT,
16,28-4-2021,16:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.05,,m/s,6.1,graden,2910.0,NVT,
17,28-4-2021,16:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.44,,m/s,6.1,graden,2910.0,NVT,
18,28-4-2021,16:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.4,,m/s,5.7,graden,2910.0,NVT,
19,28-4-2021,16:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.84,,m/s,6.2,graden,2910.0,NVT,
20,28-4-2021,16:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.27,,m/s,8.5,graden,2910.0,NVT,
21,28-4-2021,17:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.43,,m/s,9.8,graden,2910.0,NVT,
22,28-4-2021,17:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.64,,m/s,10.6,graden,2910.0,NVT,
23,28-4-2021,17:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.18,,m/s,11.6,graden,2910.0,NVT,
24,28-4-2021,17:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.02,,m/s,13.8,graden,2910.0,NVT,
25,28-4-2021,17:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.57,,m/s,15.7,graden,2910.0,NVT,
26,28-4-2021,17:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.31,,m/s,16.5,graden,2910.0,NVT,
27,28-4-2021,18:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.5,,m/s,18.3,graden,2910.0,NVT,
28,28-4-2021,18:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.33,,m/s,18.6,graden,2910.0,NVT,
29,28-4-2021,18:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.24,,m/s,15.8,graden,2910.0,NVT,
30,28-4-2021,18:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.05,,m/s,10.4,graden,2910.0,NVT,
31,28-4-2021,18:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,8.96,,m/s,6.2,graden,2910.0,NVT,
32,28-4-2021,18:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.7,,m/s,5.5,graden,2910.0,NVT,
33,28-4-2021,19:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.04,,m/s,6.7,graden,2910.0,NVT,
