Datum;Tijd;Parameter;Locatie;Waarde;Verwachting;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
28-4-2021;13:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.65;;m/s;19.70;graden;2910;NVT;
28-4-2021;13:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.86;;m/s;18.30;graden;2910;NVT;
28-4-2021;13:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.89;;m/s;15.40;graden;2910;NVT;
28-4-2021;14:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.72;;m/s;13.20;graden;2910;NVT;
28-4-2021;14:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.98;;m/s;11.60;graden;2910;NVT;
28-4-2021;14:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.40;;m/s;11.90;graden;2910;NVT;
28-4-2021;14:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.28;;m/s;10.40;graden;2910;NVT;
28-4-2021;14:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.11;;m/s;10.00;graden;2910;NVT;
28-4-2021;14:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.04;;m/s;10.30;graden;2910;NVT;
28-4-2021;15:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.05;;m/s;10.10;graden;2910;NVT;
28-4-2021;15:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.89;;m/s;11.50;graden;2910;NVT;
28-4-2021;15:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.21;;m/s;11.30;graden;2910;NVT;
28-4-2021;15:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.52;;m/s;11.70;graden;2910;NVT;
28-4-2021;15:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.81;;m/s;12.00;graden;2910;NVT;
28-4-2021;15:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.79;;m/s;10.10;graden;2910;NVT;
28-4-2021;16:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.72;;m/s;7.10;graden;2910;NVT;
28-4-2021;16:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.05;;m/s;6.10;graden;2910;NVT;
28-4-2021;16:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.44;;m/s;6.10;graden;2910;NVT;
28-4-2021;16:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.40;;m/s;5.70;graden;2910;NVT;
28-4-2021;16:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.84;;m/s;6.20;graden;2910;NVT;
28-4-2021;16:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.27;;m/s;8.50;graden;2910;NVT;
28-4-2021;17:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.43;;m/s;9.80;graden;2910;NVT;
28-4-2021;17:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.64;;m/s;10.60;graden;2910;NVT;
28-4-2021;17:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.18;;m/s;11.60;graden;2910;NVT;
28-4-2021;17:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.02;;m/s;13.80;graden;2910;NVT;
28-4-2021;17:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.57;;m/s;15.70;graden;2910;NVT;
28-4-2021;17:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.31;;m/s;16.50;graden;2910;NVT;
28-4-2021;18:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.50;;m/s;18.30;graden;2910;NVT;
28-4-2021;18:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.33;;m/s;18.60;graden;2910;NVT;
28-4-2021;18:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.24;;m/s;15.80;graden;2910;NVT;
28-4-2021;18:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.05;;m/s;10.40;graden;2910;NVT;
28-4-2021;18:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;8.96;;m/s;6.20;graden;2910;NVT;
28-4-2021;18:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.70;;m/s;5.50;graden;2910;NVT;
28-4-2021;19:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.04;;m/s;6.70;graden;2910;NVT;
28-4-2021;19:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.20;;m/s;5.70;graden;2910;NVT;
28-4-2021;19:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.54;;m/s;5.70;graden;2910;NVT;
28-4-2021;19:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.66;;m/s;6.90;graden;2910;NVT;
28-4-2021;19:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.03;;m/s;7.60;graden;2910;NVT;
28-4-2021;19:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.99;;m/s;6.60;graden;2910;NVT;
28-4-2021;20:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.86;;m/s;6.30;graden;2910;NVT;
28-4-2021;20:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.99;;m/s;5.40;graden;2910;NVT;
28-4-2021;20:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.41;;m/s;6.10;graden;2910;NVT;
28-4-2021;20:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.72;;m/s;6.10;graden;2910;NVT;
28-4-2021;20:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.89;;m/s;6.50;graden;2910;NVT;
28-4-2021;20:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.65;;m/s;7.40;graden;2910;NVT;
28-4-2021;21:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.96;;m/s;7.50;graden;2910;NVT;
28-4-2021;21:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.33;;m/s;7.70;graden;2910;NVT;
28-4-2021;21:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.45;;m/s;7.10;graden;2910;NVT;
28-4-2021;21:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.55;;m/s;6.10;graden;2910;NVT;
28-4-2021;21:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.54;;m/s;5.70;graden;2910;NVT;
28-4-2021;21:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.17;;m/s;5.20;graden;2910;NVT;
28-4-2021;22:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;12.33;;m/s;7.60;graden;2910;NVT;
28-4-2021;22:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.82;;m/s;9.40;graden;2910;NVT;
28-4-2021;22:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.94;;m/s;9.80;graden;2910;NVT;
28-4-2021;22:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.32;;m/s;7.50;graden;2910;NVT;
28-4-2021;22:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.62;;m/s;6.10;graden;2910;NVT;
28-4-2021;22:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.32;;m/s;3.30;graden;2910;NVT;
28-4-2021;23:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;11.03;;m/s;5.90;graden;2910;NVT;
28-4-2021;23:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;10.20;;m/s;8.50;graden;2910;NVT;
28-4-2021;23:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.50;;m/s;8.80;graden;2910;NVT;
28-4-2021;23:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.90;;m/s;6.00;graden;2910;NVT;
28-4-2021;23:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.81;;m/s;0.80;graden;2910;NVT;
28-4-2021;23:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.87;;m/s;355.60;graden;2910;NVT;
29-4-2021;00:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;Europlatform;9.88;;m/s;354.70;graden;2910;NVT;
